service,median,service_long
LRN_OOO,2,How_interested_are_you_in_learning_new_technical_or_research_skills_by_the_following_methods?_-_One-on-one_instruction
LRN_PGL,2,How_interested_are_you_in_learning_new_technical_or_research_skills_by_the_following_methods?_-_Peer_group_learning
LRN_SDD,2,How_interested_are_you_in_learning_new_technical_or_research_skills_by_the_following_methods?_-_Self-directed_with_documentation
LRN_SDOT,2,How_interested_are_you_in_learning_new_technical_or_research_skills_by_the_following_methods?_-_Self-directed_with_online_tutorial
LRN_TE,2,How_interested_are_you_in_learning_new_technical_or_research_skills_by_the_following_methods?_-_Trial_and_error
LRN_TMS,2,How_interested_are_you_in_learning_more_about_the_following?_-_Technology_in_meeting_spaces_classrooms
LRN_WTS,2,How_interested_are_you_in_learning_new_technical_or_research_skills_by_the_following_methods?_-_Workshop_Training_Session
RANK,3,What_is_your_rank?_-_Selected_Choice
USE_BL,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_laptops
USE_BTE,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_technology_equipment
USE_CCL,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Campus_computing_labs
USE_CMS,5,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Canvas
USE_CS,5,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
USE_DASS,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Data_analysis_support_services
USE_DSDH,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Digital_Scholarship_Digital_Humanities_services
USE_FPC,2,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Technology_help_desk
USE_GAIT,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
USE_HDTS,2,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Technology_help_desk_ticketing_system
USE_HPC,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_High_performance_computing
USE_IDS,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
USE_IPFS,4,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Institutionally_provided_network_&_cloud_file_storage
USE_ITS,2,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Instructional_technology_support
USE_LDB,4,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
USE_LDL,3,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_LibrarySearch_(go_primo)
USE_LIAC,2,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Library_research_instruction_for_academic_courses
USE_LSG,1,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Library_Subject_Guides_(go_guides)
USE_STMS,2,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Support_for_technology_in_meeting_spaces_classrooms
USE_TMS,5,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Technology_in_meeting_spaces_classrooms
