StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,USE_CMS,USE_CMSOQ,USE_CMSGB,USE_CMSAS,USE_GAIT,USE_LRS,USE_LDL,USE_LSG,USE_LC,USE_LEC,USE_ILL,USE_LDB,USE_FPC,USE_GSSL,USE_BL,USE_BTE,IMP_CMS,IMP_CMSOQ,IMP_CMSGB,IMP_CMSAS,IMP_GAIT,IMP_SGAIT,IMP_LRS,IMP_LIAC,IMP_LDL,IMP_LSG,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_FPC,IMP_CFCPS,IMP_CLS,IMP_GSSL,IMP_BL,IMP_BTE,IMP_AWAC,IMP_PWAC,IMP_OLS,DS_CMS,DS_CMSOQ,DS_CMSGB,DS_CMSAS,DS_GAIT,DS_SGAIT,DS_LRS,DS_LIAC,DS_LDL,DS_LSG,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_FPC,DS_CFCPS,DS_GSSL,DS_BL,DS_BTE,DS_AWAC,DS_PWAC,DS_OLS,AAG_TUC,EITS,ELS,INF_ATS,INF_AAT,INF_ATRW,INF_GAIT,AP_GAIT,SKL_CMS,SKL_GAIT,LRN_CMS,LRN_GAIT,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,YEAR,ADIV,AGE,NOTFGEN,COMMENT
3/7/2024 8:13,3/7/2024 8:20,0,100,445,1,3/7/2024 8:20,email,EN,5,2,3,4,2,1,1,1,1,1,3,4,1,1,1,1,4,2,3,4,1,2,3,3,3,3,3,3,4,4,3,3,4,4,3,-99,4,4,4,4,4,4,4,2,2,-99,3,-99,-99,-99,4,4,4,-99,-99,4,-99,-99,3,4,4,4,Better information about printing,I would like all students to be more informed about all of the library's resources. There are so many that we don't even know about unless we ask on on our own.,1,1,1,1,9,4,2,2,1,2,4,4,1,1,2,2025,50300,21,1,-99
3/7/2024 8:18,3/7/2024 8:26,0,100,520,1,3/7/2024 8:26,email,EN,5,4,4,4,5,2,2,1,1,2,2,2,2,4,1,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,3,-99,2,2,4,-99,-99,4,4,4,4,-99,4,4,4,3,4,4,-99,3,3,3,4,4,-99,-99,2,2,2,2,2,3,3,1,1,2,3,2,2,3,2,2027,40200,19,-99,-99
3/7/2024 8:22,3/7/2024 8:29,0,100,450,1,3/7/2024 8:29,email,EN,5,2,3,4,5,2,1,1,1,1,1,2,2,2,1,1,4,2,3,4,4,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,4,2,3,2,3,4,3,4,-99,-99,-99,-99,-99,-99,2,2,-99,-99,4,2,-99,4,4,-99,3,-99,-99,2,2,2,3,3,3,3,1,3,2,3,1,1,1,3,2024,40200,23,1,-99
3/7/2024 8:31,3/7/2024 8:34,0,100,198,1,3/7/2024 8:34,email,EN,5,1,1,3,2,1,1,1,1,2,2,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,4,4,4,4,4,4,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,-99,-99,3,3,3,3,1,4,4,1,1,2,2,2,2,2,2,2024,50300,22,1,-99
3/7/2024 8:31,3/7/2024 8:34,0,100,195,1,3/7/2024 8:34,email,EN,5,2,5,5,3,1,1,1,1,2,1,3,1,2,1,1,3,3,3,3,2,2,2,2,3,3,2,2,3,2,3,2,3,1,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,-99,-99,3,3,2,3,3,4,3,2,2,1,1,1,1,1,1,2024,30100,21,1,-99
3/7/2024 8:33,3/7/2024 8:34,0,100,105,1,3/7/2024 8:34,email,EN,5,5,5,5,2,5,1,1,1,1,1,3,4,2,4,2,4,2,3,-99,2,4,3,3,3,2,3,3,-99,4,3,2,2,4,4,3,2,3,3,2,2,-99,3,3,3,3,3,2,4,2,3,3,2,3,4,3,4,4,3,4,4,4,-99,-99,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2026,40200,20,1,-99
3/7/2024 8:28,3/7/2024 8:35,0,100,422,1,3/7/2024 8:35,email,EN,5,2,1,5,1,2,3,2,3,2,3,2,2,3,1,2,4,3,1,4,1,1,3,3,3,2,4,4,4,4,3,3,2,3,4,4,4,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,4,-99,4,-99,3,4,4,4,4,-99,-99,3,1,1,1,9,-99,-99,1,1,1,1,1,3,3,1,2024,-99,-99,1,-99
3/7/2024 8:35,3/7/2024 8:40,0,100,309,1,3/7/2024 8:40,email,EN,5,1,5,5,2,3,4,4,2,2,1,3,3,5,1,1,4,2,4,4,2,2,3,4,3,3,2,2,2,3,4,3,2,4,2,2,4,4,3,4,2,4,4,3,3,3,3,3,3,3,3,2,4,3,3,4,3,3,2,2,4,4,-99,I would like to see library hours get longer. ,3,2,2,1,2,3,3,2,2,3,2,3,1,1,3,2027,30100,18,1,-99
3/7/2024 8:31,3/7/2024 8:42,0,100,619,1,3/7/2024 8:42,email,EN,5,4,3,5,1,4,2,2,3,5,2,3,2,5,1,1,4,3,2,-99,1,2,4,3,2,2,3,4,3,4,4,3,3,4,-99,-99,4,4,4,4,4,4,4,-99,-99,4,4,4,4,4,4,4,4,4,4,-99,-99,-99,3,2,4,3,improve the speed of internet in campus,increase the availability of study places (e.g. some 24 hour study place IN the library by keeping a small part of library's light open),2,2,3,2,9,4,3,2,4,3,2,2,4,4,3,2027,50300,19,1,-99
3/7/2024 8:45,3/7/2024 8:50,0,100,287,1,3/7/2024 8:50,email,EN,5,5,5,5,4,3,2,2,1,3,2,4,3,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,3,3,4,4,4,4,-99,-99,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,-99,-99,3,2,2,3,3,4,3,2,3,3,2,4,4,4,1,2025,40200,20,0,-99
3/7/2024 8:43,3/7/2024 8:55,0,100,736,1,3/7/2024 8:55,email,EN,5,3,3,4,1,2,2,2,2,2,2,2,2,2,1,1,4,4,1,4,1,1,4,2,1,1,2,2,2,2,2,1,2,2,1,1,4,4,4,4,4,2,4,-99,-99,4,3,-99,-99,4,4,4,4,4,4,4,-99,-99,4,3,4,4,"The biggest thing for me as an architecture student would be expanding IT services into buildings outside of Davis. An example of this would be the Plotter in Johnson, which didn’t work all semester and was very inconvenient when we needed to print. ",I think overall library services are very good. ,2,2,2,2,9,4,1,2,1,1,1,1,1,1,2,2024,10200,21,1,-99
3/7/2024 7:38,3/7/2024 8:57,0,100,4786,1,3/7/2024 8:57,email,EN,5,2,2,4,4,4,1,1,1,4,2,4,1,2,1,1,4,1,1,2,4,3,3,3,-99,-99,2,3,3,3,-99,-99,1,-99,-99,-99,4,4,3,4,2,2,2,4,2,3,3,-99,-99,3,2,3,3,-99,-99,3,-99,-99,2,2,4,4,I would love to see more resources that support generative AI,I would love to see more tutoring services. ,2,2,2,2,2,4,3,3,3,3,3,2,4,4,2,2024,30900,23,1,-99
3/7/2024 8:58,3/7/2024 9:02,0,100,229,1,3/7/2024 9:02,email,EN,5,4,4,5,4,4,3,3,2,5,2,3,2,4,1,1,4,3,4,4,2,2,3,2,3,-99,2,4,1,2,2,2,2,4,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,-99,-99,3,3,3,2,3,4,3,3,4,2,3,2,3,3,3,2025,50300,21,1,-99
3/7/2024 8:44,3/7/2024 9:03,0,100,1130,1,3/7/2024 9:03,email,EN,5,2,3,5,3,2,1,1,1,3,1,3,1,3,1,1,4,3,4,4,4,1,3,3,1,1,1,4,2,4,3,2,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,3,1,2,1,2,4,4,1,2,1,1,1,1,2,3,2027,50300,19,1,-99
3/7/2024 9:04,3/7/2024 9:08,0,100,229,1,3/7/2024 9:08,email,EN,5,2,2,4,1,2,1,1,3,3,2,3,1,2,1,1,3,2,3,3,1,1,4,4,2,2,4,3,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,-99,-99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,2,1,1,1,9,5,1,1,1,1,2,2,3,3,2,2027,31000,18,1,-99
3/7/2024 9:13,3/7/2024 9:24,0,100,659,1,3/7/2024 9:24,email,EN,5,4,1,5,2,2,1,2,2,3,2,4,2,3,1,2,4,3,2,4,1,1,3,3,2,3,2,4,3,4,3,2,3,3,2,2,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,-99,4,4,4,4,-99,"it could be cool if there was a way to look up book availability on your own, without having to go to the help desk. there are so many books, but most people don’t even know how to find them!  also teh  ",2,1,3,2,3,4,2,2,1,2,2,2,2,2,1,2026,50300,21,1,-99
3/7/2024 9:24,3/7/2024 9:34,0,100,613,1,3/7/2024 9:34,email,EN,5,2,3,5,5,2,1,1,1,2,3,1,1,2,1,1,4,2,4,4,3,2,1,1,1,1,1,3,3,1,1,1,1,3,2,2,4,3,-99,2,2,1,1,4,-99,3,3,-99,-99,-99,2,4,-99,1,-99,3,-99,-99,3,3,3,4,Better wifi,make professors use canvas,3,1,2,2,3,4,3,1,3,1,1,3,3,3,3,2026,50300,19,0,-99
3/7/2024 9:29,3/7/2024 9:35,0,100,366,1,3/7/2024 9:35,email,EN,5,2,4,4,2,3,1,1,3,3,3,3,1,2,1,1,4,3,4,4,1,1,4,4,-99,-99,4,4,4,4,2,2,2,4,1,1,4,4,4,4,4,4,4,-99,-99,4,4,-99,-99,4,4,3,4,-99,-99,4,-99,-99,4,4,4,4,"Although I haven't used the tech help desk, I've heard from a few friends that the students there aren't always the kindest or very helpful (this obviously varies on a case-by-case basis) which is what has prevented me from going myself.","Perhaps access to more journals, since sometimes I can't access an article because Middlebury doesn't have access. I've had trouble with Sagepub and other similar publications.",2,1,2,1,4,5,2,1,1,1,1,1,1,3,3,2025,50300,21,1,-99
3/7/2024 9:36,3/7/2024 9:39,0,100,189,1,3/7/2024 9:39,email,EN,5,3,5,5,4,3,3,3,3,3,3,5,3,3,3,3,4,4,4,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,2,2,4,4,4,4,4,4,-99,-99,-99,-99,-99,-99,4,4,4,4,-99,Nothing,Longer book loans,4,4,4,1,4,3,2,3,2,4,4,4,4,4,4,2026,50300,20,1,-99
3/7/2024 9:33,3/7/2024 9:41,0,100,447,1,3/7/2024 9:41,email,EN,5,3,5,5,1,3,2,2,3,2,1,2,3,2,1,1,4,4,4,4,1,1,3,2,2,2,3,3,1,2,3,3,3,3,1,2,4,4,4,4,4,4,4,-99,-99,3,2,2,2,4,4,2,2,4,4,4,3,3,4,4,4,4,"Maybe making the services more well known, it took me a minute to recognize some things on this survey as resources, and on others I still am not sure if I actually know what they mean. ",I'm not sure.,1,1,1,1,9,3,1,4,2,2,4,4,1,1,3,2027,30900,18,1,-99
3/7/2024 8:32,3/7/2024 9:47,0,100,4462,1,3/7/2024 9:47,email,EN,5,3,5,5,1,3,1,1,3,3,3,3,3,2,1,1,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,n/a,n/a,3,2,2,2,9,4,1,3,1,1,1,2,1,1,1,2026,100800,20,1,-99
3/7/2024 9:43,3/7/2024 9:53,0,100,568,1,3/7/2024 9:53,email,EN,5,2,3,4,3,2,1,1,2,2,2,3,3,2,1,1,3,1,2,3,2,1,1,2,1,1,2,2,2,4,3,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,-99,-99,4,-99,4,4,4,4,4,I’m not sure,I’m not sure ,3,1,1,2,4,4,3,2,2,2,2,1,2,2,1,2025,100800,20,0,-99
3/7/2024 9:47,3/7/2024 9:58,0,100,610,1,3/7/2024 9:58,email,EN,5,3,2,4,1,2,3,1,3,1,1,2,1,3,1,1,4,2,2,4,1,1,3,3,3,2,4,2,2,3,2,2,3,4,2,2,3,4,4,4,3,3,4,1,1,3,3,3,2,3,2,-99,4,3,3,4,-99,-99,3,3,4,3,Better wifi that doesn't cut out every few days,-99,2,2,2,2,9,5,1,2,1,2,2,2,2,2,3,2027,10200,18,1,-99
3/7/2024 8:38,3/7/2024 10:00,0,100,4908,1,3/7/2024 10:00,email,EN,5,5,4,5,4,2,1,1,1,1,2,2,1,2,1,1,4,4,4,4,4,2,3,2,-99,-99,-99,-99,3,4,3,2,3,2,1,1,4,4,3,4,4,4,4,4,3,4,4,-99,-99,-99,-99,3,4,4,4,4,-99,-99,3,3,4,4,-99,-99,2,2,2,3,3,5,4,1,3,2,2,2,2,2,3,2025,50300,22,1,-99
3/7/2024 9:57,3/7/2024 10:07,0,100,620,1,3/7/2024 10:07,email,EN,5,1,2,5,5,4,1,1,1,1,1,4,1,1,1,1,4,1,2,3,4,4,2,3,2,2,2,4,-99,2,2,2,2,2,-99,-99,4,4,2,3,-99,2,3,4,1,-99,3,-99,-99,-99,3,-99,4,-99,-99,-99,-99,-99,1,1,3,4,"I think the AI revolution needs to be taken more seriously and embraced, instead of ignored. Students are taught not to use AI or why it won't work, from teachers just as new to the concept as those they teach. AI is enormous and must be understood.",I'm not sure this applies to me since I don't use the libraries at all. I study on my own and haven't entered a library in a while except for classes.,3,2,2,4,3,4,5,2,4,2,4,3,1,1,1,2024,50300,22,1,N/A
3/7/2024 10:00,3/7/2024 10:12,0,100,753,1,3/7/2024 10:12,email,EN,5,2,4,4,4,1,1,1,1,1,1,3,2,2,1,1,4,-99,3,4,3,1,3,3,-99,-99,-99,3,-99,4,3,3,3,2,-99,-99,4,4,3,4,-99,4,4,3,-99,-99,-99,-99,-99,-99,-99,-99,4,3,3,-99,-99,-99,4,4,-99,4,"I honestly don't know much about the information technology services offered by the library. It could be because I don't actively seek it out, but it could be cool to see more services advertised more than they are. ",I don't use most of the library services because I don't think I need to. ,2,1,1,3,2,4,4,1,2,2,3,2,4,4,4,2025,50300,21,1,-99
